 
🎵2月15测试有效,#genre#
CCTV15,http://mgsp-hs2.live.miguvideo.com:8088/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083628&pid=2028597139&timestamp=20250215165646&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=67316822320250215012&ParentNodeID=-99&assertID=5501083628&client_ip=60.219.242.232&SecurityKey=20250215165646&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=4329718bb3eb4ddb77f361c7020adfa1&is_advertise=0&jid=9526adccea87ff19126320aee1935fba&sjid=subsession_1739609806202&mtv_session=09a02acaa26e4c6cac2f8f1fe1300329&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3d8b0987d3e5d0f0da1dd715f9ba1125

CCTV16,http://39.135.133.177/wh7f454c46tw3446163610_2122737539/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv17hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083631&pid=2028597139&timestamp=20250215165705&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=67316825620250215022&ParentNodeID=-99&assertID=5501083631&client_ip=60.219.242.232&SecurityKey=20250215165705&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=7a28eef11cadc1e829d5ab7377d3945a&sv=10003&ct=ios&playUrlSsn=e7e07a49bbf14a59582733c764ce2cae&is_advertise=0&jid=5bd2d4462b88e2ec287f1ee5667309a3&sjid=subsession_1739609824735&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=0782d70f02698ad923e7b3e238769e4a
💝小白正版抓包咪咕V4,#genre#
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV6,http://goo.bkpcp.top/mg/cctv6
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV8,http://goo.bkpcp.top/mg/cctv8
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV12,http://goo.bkpcp.top/mg/cctv12
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV14,http://goo.bkpcp.top/mg/cctv14
CCTV15,http://goo.bkpcp.top/mg/cctv15
CCTV17,http://goo.bkpcp.top/mg/cctv17
中央新影-发现之旅,http://goo.bkpcp.top/mg/fxzl
中央新影-老故事,http://goo.bkpcp.top/mg/lgs
中央新影-中学生,http://goo.bkpcp.top/mg/zxs
CGTN纪录,http://goo.bkpcp.top/mg/cgtnjl
CGTN西语,http://goo.bkpcp.top/mg/cgtne
CGTN阿语,http://goo.bkpcp.top/mg/cgtna
CGTN法语,http://goo.bkpcp.top/mg/cgtnf
CGTN俄语,http://goo.bkpcp.top/mg/cgtnr
东方卫视,http://goo.bkpcp.top/mg/dfws
吉林卫视,http://goo.bkpcp.top/mg/jlws
青海卫视,http://goo.bkpcp.top/mg/qhws
陕西卫视,http://goo.bkpcp.top/mg/sxws
湖北卫视,http://goo.bkpcp.top/mg/hubws
江西卫视,http://goo.bkpcp.top/mg/jxws
江苏卫视,http://goo.bkpcp.top/mg/jsws
广东卫视,http://goo.bkpcp.top/mg/gdws
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
海南卫视,http://goo.bkpcp.top/mg/hinws
四海钓鱼,http://goo.bkpcp.top/mg/shdy
江苏教育,http://goo.bkpcp.top/mg/jsjy
山东教育,http://goo.bkpcp.top/mg/sdjy
游戏风云,http://goo.bkpcp.top/mg/yxfy
欢笑剧场,http://goo.bkpcp.top/mg/hxjc
CCTV1,http://ttkx.cc:1380/公开源/mg9.php?id=cctv1
CCTV2,http://ttkx.cc:1380/公开源/mg9.php?id=cctv2
CCTV3,http://ttkx.cc:1380/公开源/mg9.php?id=cctv3
CCTV4,http://ttkx.cc:1380/公开源/mg9.php?id=cctv4
CCTV5,http://ttkx.cc:1380/公开源/mg9.php?id=cctv5
CCTV5+,http://ttkx.cc:1380/公开源/mg9.php?id=cctv5p
CCTV6,http://ttkx.cc:1380/公开源/mg9.php?id=cctv6
CCTV7,http://ttkx.cc:1380/公开源/mg9.php?id=cctv7
CCTV8,http://ttkx.cc:1380/公开源/mg9.php?id=cctv8
CCTV9,http://ttkx.cc:1380/公开源/mg9.php?id=cctv9
CCTV10,http://ttkx.cc:1380/公开源/mg9.php?id=cctv10
CCTV11,http://ttkx.cc:1380/公开源/mg9.php?id=cctv11
CCTV12,http://ttkx.cc:1380/公开源/mg9.php?id=cctv12
CCTV13,http://ttkx.cc:1380/公开源/mg9.php?id=cctv13
CCTV14,http://ttkx.cc:1380/公开源/mg9.php?id=cctv14
CCTV15,http://ttkx.cc:1380/公开源/mg9.php?id=cctv15
CCTV17,http://ttkx.cc:1380/公开源/mg9.php?id=cctv17

CGT西语,http://ttkx.cc:1380/公开源/mg9.php?id=cgtne
CGT法语,http://ttkx.cc:1380/公开源/mg9.php?id=cgtnf
发现之旅,http://ttkx.cc:1380/公开源/mg9.php?id=fxzl
中学生台,http://ttkx.cc:1380/公开源/mg9.php?id=zxs
广东卫视,http://ttkx.cc:1380/公开源/mg9.php?id=gdws
江苏教育,http://ttkx.cc:1380/公开源/mg9.php?id=jsjy
军事大片,http://ttkx.cc:1380/公开源/mg9.php?id=jsdp
熊猫1,http://ttkx.cc:1380/公开源/mg9.php?id=xm1
熊猫2,http://ttkx.cc:1380/公开源/mg9.php?id=xm2
熊猫6,http://ttkx.cc:1380/公开源/mg9.php?id=xm6
熊猫7,http://ttkx.cc:1380/公开源/mg9.php?id=xm7 
熊猫8,http://ttkx.cc:1380/公开源/mg9.php?id=xm8
CCTV1,http://119.91.33.253/migu.php?id=cctv1
CCTV2,http://119.91.33.253/migu.php?id=cctv2
CCTV3,http://119.91.33.253/migu.php?id=cctv3
CCTV4,http://119.91.33.253/migu.php?id=cctv4
CCTV5,http://119.91.33.253/migu.php?id=cctv5
CCTV5+,http://119.91.33.253/migu.php?id=cctv5p
CCTV6,http://119.91.33.253/migu.php?id=cctv6
CCTV7,http://119.91.33.253/migu.php?id=cctv7
CCTV8,http://119.91.33.253/migu.php?id=cctv8
CCTV9,http://119.91.33.253/migu.php?id=cctv9
CCTV10,http://119.91.33.253/migu.php?id=cctv10
CCTV11,http://119.91.33.253/migu.php?id=cctv11
CCTV12,http://119.91.33.253/migu.php?id=cctv12
CCTV13,http://119.91.33.253/migu.php?id=cctv13
CCTV14,http://119.91.33.253/migu.php?id=cctv14
CCTV15,http://119.91.33.253/migu.php?id=cctv15
CCTV17,http://119.91.33.253/migu.php?id=cctv17
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
